['trace:', '3.6323974082073436']
['spade:', '3.7166306695464364']
['bloat:', '3.7170626349892006']
['droit:', '3.7170626349892006']
['shirt:', '3.7170626349892006']
['alone:', '3.7174946004319653']
['alien:', '3.71792656587473']
['clash:', '3.71792656587473']
['short:', '3.71792656587473']
['spiel:', '3.71792656587473']
['spite:', '3.71792656587473']
['aisle:', '3.7183585313174947']
['ratio:', '3.7183585313174947']
['triad:', '3.7183585313174947']
['clued:', '3.718790496760259']
['crisp:', '3.718790496760259']
['realm:', '3.718790496760259']
['chart:', '3.7192224622030237']
['pried:', '3.7192224622030237']
['satyr:', '3.7192224622030237']
['apron:', '3.7196544276457884']
['palsy:', '3.7196544276457884']
['ripen:', '3.7196544276457884']
['atone:', '3.7205183585313173']
['spear:', '3.7205183585313173']
['coral:', '3.720950323974082']
['grate:', '3.720950323974082']
['smelt:', '3.720950323974082']
['smile:', '3.720950323974082']
['canoe:', '3.7218142548596114']
['paint:', '3.7218142548596114']
['plead:', '3.7218142548596114']
['slime:', '3.7218142548596114']
['slide:', '3.7222462203023756']
['acorn:', '3.7226781857451403']
['artsy:', '3.7226781857451403']
['clang:', '3.7226781857451403']
['olden:', '3.7226781857451403']
['pride:', '3.7226781857451403']
['recut:', '3.7226781857451403']
['salty:', '3.7226781857451403']
['spine:', '3.7226781857451403']
['tepid:', '3.7226781857451403']
['abort:', '3.723110151187905']
['shear:', '3.723110151187905']
['tamer:', '3.723110151187905']
['beast:', '3.7235421166306697']
['diner:', '3.7235421166306697']
['inlet:', '3.7235421166306697']
['store:', '3.7235421166306697']
['timer:', '3.7235421166306697']
['blade:', '3.723974082073434']
['bland:', '3.723974082073434']
['cadet:', '3.723974082073434']
['delta:', '3.723974082073434']
['merit:', '3.7244060475161986']
['sedan:', '3.7244060475161986']
['spore:', '3.7244060475161986']
['arson:', '3.725269978401728']
['spied:', '3.725269978401728']
['cedar:', '3.7257019438444923']
['court:', '3.7257019438444923']
['dance:', '3.7257019438444923']
['pedal:', '3.7257019438444923']
['cruel:', '3.726133909287257']
['erupt:', '3.726133909287257']
['slang:', '3.726133909287257']
['false:', '3.7265658747300217']
['front:', '3.7265658747300217']
['meant:', '3.7265658747300217']
['latch:', '3.7269978401727863']
['borne:', '3.7274298056155506']
['flare:', '3.7274298056155506']
['claim:', '3.7278617710583153']
['earth:', '3.7278617710583153']
['enact:', '3.7278617710583153']
['scorn:', '3.7278617710583153']
['sepia:', '3.7278617710583153']
['tidal:', '3.7278617710583153']
['basil:', '3.72829373650108']
['brand:', '3.72829373650108']
['cried:', '3.72829373650108']
['molar:', '3.72829373650108']
['craft:', '3.7287257019438447']
['score:', '3.7287257019438447']
['shale:', '3.7287257019438447']
['drain:', '3.729157667386609']
['solid:', '3.729157667386609']
['spend:', '3.729157667386609']
['torch:', '3.729157667386609']
['snide:', '3.7300215982721383']
['stand:', '3.7300215982721383']
['thorn:', '3.7300215982721383']
['comet:', '3.730453563714903']
['grail:', '3.730453563714903']
['pecan:', '3.730453563714903']
['staid:', '3.730453563714903']
['decal:', '3.7308855291576672']
['haste:', '3.7308855291576672']
['scope:', '3.7308855291576672']
['their:', '3.7308855291576672']
['baste:', '3.731317494600432']
['party:', '3.731317494600432']
['peril:', '3.7317494600431966']
['tilde:', '3.7321814254859613']
['bread:', '3.7326133909287256']
['stern:', '3.7326133909287256']
['those:', '3.7326133909287256']
['forte:', '3.7330453563714903']
['frost:', '3.7330453563714903']
['stein:', '3.7330453563714903']
['antic:', '3.733477321814255']
['brace:', '3.733477321814255']
['loser:', '3.733477321814255']
['recap:', '3.733477321814255']
['brute:', '3.7339092872570196']
['great:', '3.7339092872570196']
['farce:', '3.734341252699784']
['large:', '3.734341252699784']
['moist:', '3.734341252699784']
['stalk:', '3.734341252699784']
['bleat:', '3.7347732181425486']
['crime:', '3.7347732181425486']
['depot:', '3.7352051835853133']
['ralph:', '3.7352051835853133']
['snipe:', '3.7352051835853133']
['baron:', '3.735637149028078']
['curse:', '3.736501079913607']
['heron:', '3.736501079913607']
['super:', '3.736501079913607']
['grand:', '3.737365010799136']
['inert:', '3.737365010799136']
['sling:', '3.7377969762419005']
['eclat:', '3.7382289416846652']
['gripe:', '3.7382289416846652']
['metro:', '3.7382289416846652']
['remit:', '3.7382289416846652']
['shire:', '3.7382289416846652']
['smite:', '3.7382289416846652']
['first:', '3.73866090712743']
['poise:', '3.73866090712743']
['shone:', '3.73866090712743']
['snout:', '3.73866090712743']
['spurn:', '3.73866090712743']
['posit:', '3.739092872570194']
['tribe:', '3.739092872570194']
['feast:', '3.739524838012959']
['lathe:', '3.739524838012959']
['motel:', '3.739524838012959']
['grasp:', '3.7399568034557236']
['brine:', '3.7403887688984883']
['cream:', '3.7403887688984883']
['crude:', '3.7403887688984883']
['hater:', '3.7403887688984883']
['prong:', '3.7403887688984883']
['clout:', '3.7408207343412525']
['manor:', '3.7408207343412525']
['nurse:', '3.7408207343412525']
['pesto:', '3.7408207343412525']
['tiger:', '3.7408207343412525']
['glade:', '3.741252699784017']
['gloat:', '3.741252699784017']
['north:', '3.741252699784017']
['pulse:', '3.741252699784017']
['adorn:', '3.741684665226782']
['arise:', '3.741684665226782']
['baler:', '3.741684665226782']
['stead:', '3.741684665226782']
['moral:', '3.7421166306695466']
['panic:', '3.7421166306695466']
['spoil:', '3.7421166306695466']
['chant:', '3.742548596112311']
['leash:', '3.742548596112311']
['beard:', '3.7429805615550755']
['midst:', '3.7429805615550755']
['route:', '3.7429805615550755']
['feral:', '3.74341252699784']
['draft:', '3.743844492440605']
['grape:', '3.743844492440605']
['intro:', '3.743844492440605']
['poser:', '3.743844492440605']
['shine:', '3.743844492440605']
['wrote:', '3.743844492440605']
['cloth:', '3.744276457883369']
['scram:', '3.744276457883369']
['donut:', '3.744708423326134']
['dunce:', '3.744708423326134']
['nadir:', '3.744708423326134']
['teary:', '3.744708423326134']
['daunt:', '3.7451403887688985']
['horse:', '3.7451403887688985']
['phase:', '3.7451403887688985']
['camel:', '3.7455723542116632']
['frond:', '3.7455723542116632']
['teach:', '3.7455723542116632']
['cabin:', '3.7460043196544275']
['burst:', '3.746436285097192']
['lemon:', '3.7473002159827216']
['slurp:', '3.7473002159827216']
['arose:', '3.747732181425486']
['brain:', '3.747732181425486']
['islet:', '3.747732181425486']
['pause:', '3.747732181425486']
['sadly:', '3.747732181425486']
['spout:', '3.747732181425486']
['loath:', '3.7481641468682505']
['metal:', '3.7481641468682505']
['older:', '3.7481641468682505']
['crash:', '3.748596112311015']
['heard:', '3.748596112311015']
['manic:', '3.748596112311015']
['miser:', '3.748596112311015']
['stark:', '3.748596112311015']
['adult:', '3.74902807775378']
['cider:', '3.74902807775378']
['could:', '3.74902807775378']
['goner:', '3.74902807775378']
['grace:', '3.74902807775378']
['grind:', '3.74902807775378']
['rapid:', '3.74902807775378']
['refit:', '3.74902807775378']
['stray:', '3.74902807775378']
['tardy:', '3.74902807775378']
['acute:', '3.749460043196544']
['caput:', '3.749460043196544']
['octal:', '3.749460043196544']
['psalm:', '3.749460043196544']
['sauce:', '3.749460043196544']
['storm:', '3.749460043196544']
['melon:', '3.749892008639309']
['baton:', '3.7503239740820735']
['prime:', '3.7503239740820735']
['round:', '3.7503239740820735']
['prune:', '3.750755939524838']
['aider:', '3.7511879049676025']
['blame:', '3.7511879049676025']
['clamp:', '3.7511879049676025']
['crypt:', '3.7511879049676025']
['hotel:', '3.7511879049676025']
['shape:', '3.7511879049676025']
['count:', '3.751619870410367']
['crony:', '3.751619870410367']
['filet:', '3.751619870410367']
['leach:', '3.751619870410367']
['blend:', '3.752051835853132']
['slack:', '3.752051835853132']
['singe:', '3.7524838012958965']
['aloft:', '3.752915766738661']
['angel:', '3.752915766738661']
['angle:', '3.752915766738661']
['chase:', '3.752915766738661']
['dream:', '3.752915766738661']
['liner:', '3.752915766738661']
['prude:', '3.752915766738661']
['third:', '3.752915766738661']
['adept:', '3.7533477321814255']
['grade:', '3.75377969762419']
['inter:', '3.75377969762419']
['shade:', '3.75377969762419']
['pansy:', '3.754211663066955']
['patch:', '3.754211663066955']
['ultra:', '3.754211663066955']
['cause:', '3.754643628509719']
['chord:', '3.754643628509719']
['facet:', '3.754643628509719']
['lager:', '3.754643628509719']
['prism:', '3.754643628509719']
['regal:', '3.754643628509719']
['relic:', '3.754643628509719']
['horde:', '3.755075593952484']
['model:', '3.755075593952484']
['noise:', '3.755075593952484']
['orbit:', '3.755075593952484']
['point:', '3.755075593952484']
['setup:', '3.755075593952484']
['glint:', '3.7555075593952485']
['worst:', '3.7555075593952485']
['angst:', '3.7559395248380127']
['nicer:', '3.7559395248380127']
['torus:', '3.7559395248380127']
['adore:', '3.7563714902807774']
['bacon:', '3.7563714902807774']
['track:', '3.7563714902807774']
['drown:', '3.756803455723542']
['grope:', '3.756803455723542']
['minor:', '3.756803455723542']
['shore:', '3.756803455723542']
['ascot:', '3.757235421166307']
['debar:', '3.757235421166307']
['shard:', '3.757667386609071']
['smith:', '3.757667386609071']
['spray:', '3.757667386609071']
['aptly:', '3.7580993520518358']
['glean:', '3.7580993520518358']
['range:', '3.7580993520518358']
['reach:', '3.7580993520518358']
['death:', '3.7585313174946005']
['labor:', '3.7585313174946005']
['ramen:', '3.7585313174946005']
['scold:', '3.7585313174946005']
['chest:', '3.758963282937365']
['cloud:', '3.758963282937365']
['outer:', '3.758963282937365']
['scaly:', '3.758963282937365']
['smote:', '3.758963282937365']
['uncle:', '3.758963282937365']
['corny:', '3.7593952483801294']
['cutie:', '3.7593952483801294']
['inept:', '3.7593952483801294']
['scion:', '3.7593952483801294']
['tulip:', '3.7593952483801294']
['blond:', '3.759827213822894']
['credo:', '3.759827213822894']
['force:', '3.759827213822894']
['macro:', '3.759827213822894']
['sperm:', '3.759827213822894']
['cigar:', '3.760259179265659']
['crimp:', '3.760259179265659']
['porch:', '3.760259179265659']
['grain:', '3.7606911447084235']
['shorn:', '3.7606911447084235']
['write:', '3.7606911447084235']
['scamp:', '3.7611231101511877']
['smear:', '3.7611231101511877']
['ulcer:', '3.7611231101511877']
['cramp:', '3.7615550755939524']
['frail:', '3.7615550755939524']
['maple:', '3.7615550755939524']
['stoic:', '3.7615550755939524']
['tuber:', '3.7615550755939524']
['churn:', '3.761987041036717']
['fault:', '3.761987041036717']
['snake:', '3.761987041036717']
['wrist:', '3.761987041036717']
['blind:', '3.762419006479482']
['yeast:', '3.762419006479482']
['align:', '3.762850971922246']
['final:', '3.762850971922246']
['float:', '3.762850971922246']
['plank:', '3.762850971922246']
['rebut:', '3.762850971922246']
['skate:', '3.762850971922246']
['steam:', '3.762850971922246']
['suite:', '3.762850971922246']
['fetal:', '3.7632829373650107']
['radio:', '3.7632829373650107']
['acrid:', '3.7637149028077754']
['randy:', '3.7637149028077754']
['tonic:', '3.7637149028077754']
['dirge:', '3.76414686825054']
['stage:', '3.76414686825054']
['wrest:', '3.76414686825054']
['anode:', '3.7645788336933044']
['brunt:', '3.7645788336933044']
['patsy:', '3.7645788336933044']
['rabid:', '3.765010799136069']
['sharp:', '3.765010799136069']
['sting:', '3.765010799136069']
['trawl:', '3.765010799136069']
['unlit:', '3.765010799136069']
['until:', '3.765010799136069']
['chain:', '3.7654427645788338']
['chard:', '3.7654427645788338']
['groin:', '3.7654427645788338']
['rouse:', '3.7654427645788338']
['sober:', '3.7654427645788338']
['lunar:', '3.7658747300215984']
['scout:', '3.7658747300215984']
['shaft:', '3.7658747300215984']
['after:', '3.7663066954643627']
['idler:', '3.7667386609071274']
['unset:', '3.7667386609071274']
['clank:', '3.767170626349892']
['flash:', '3.767170626349892']
['mason:', '3.767170626349892']
['nasty:', '3.767170626349892']
['pasty:', '3.767170626349892']
['safer:', '3.767170626349892']
['tubal:', '3.767170626349892']
['broad:', '3.7676025917926568']
['crank:', '3.7676025917926568']
['utile:', '3.7676025917926568']
['crawl:', '3.768034557235421']
['crump:', '3.768034557235421']
['hoist:', '3.768034557235421']
['marsh:', '3.768034557235421']
['miner:', '3.768034557235421']
['phone:', '3.768034557235421']
['robin:', '3.768034557235421']
['shoal:', '3.768034557235421']
['admit:', '3.7684665226781857']
['faint:', '3.7684665226781857']
['fecal:', '3.7684665226781857']
['noble:', '3.7684665226781857']
['basin:', '3.7688984881209504']
['bride:', '3.7688984881209504']
['gruel:', '3.7688984881209504']
['retch:', '3.7688984881209504']
['twirl:', '3.7688984881209504']
['fried:', '3.769330453563715']
['straw:', '3.769330453563715']
['topic:', '3.769330453563715']
['trove:', '3.769330453563715']
['email:', '3.7697624190064793']
['lunch:', '3.7697624190064793']
['mount:', '3.7697624190064793']
['notch:', '3.7697624190064793']
['rivet:', '3.7697624190064793']
['micro:', '3.770194384449244']
['opine:', '3.770194384449244']
['sound:', '3.770194384449244']
['flint:', '3.7706263498920087']
['grunt:', '3.7706263498920087']
['louse:', '3.7706263498920087']
['stank:', '3.7706263498920087']
['stony:', '3.7706263498920087']
['blunt:', '3.7710583153347734']
['giant:', '3.7710583153347734']
['modal:', '3.7710583153347734']
['anger:', '3.7714902807775377']
['cargo:', '3.7714902807775377']
['drake:', '3.7714902807775377']
['scour:', '3.7714902807775377']
['abled:', '3.7719222462203024']
['crown:', '3.7719222462203024']
['frame:', '3.7719222462203024']
['mince:', '3.7719222462203024']
['stamp:', '3.7719222462203024']
['perch:', '3.772354211663067']
['bicep:', '3.7727861771058318']
['blurt:', '3.7727861771058318']
['cleft:', '3.7727861771058318']
['focal:', '3.7727861771058318']
['pitch:', '3.7727861771058318']
['serum:', '3.7727861771058318']
['tower:', '3.7727861771058318']
['tunic:', '3.7727861771058318']
['broth:', '3.773218142548596']
['chirp:', '3.773218142548596']
['cobra:', '3.773218142548596']
['lithe:', '3.773218142548596']
['raspy:', '3.773218142548596']
['rifle:', '3.773218142548596']
['water:', '3.773218142548596']
['cling:', '3.7736501079913607']
['screw:', '3.7736501079913607']
['sonic:', '3.7736501079913607']
['adopt:', '3.7740820734341254']
['burnt:', '3.7740820734341254']
['clump:', '3.7740820734341254']
['plush:', '3.7740820734341254']
['tempo:', '3.7740820734341254']
['along:', '3.7745140388768896']
['crowd:', '3.7745140388768896']
['felon:', '3.7745140388768896']
['serif:', '3.7749460043196543']
['foist:', '3.775377969762419']
['roach:', '3.775377969762419']
['spark:', '3.775377969762419']
['touch:', '3.775377969762419']
['shunt:', '3.7758099352051837']
['waste:', '3.7758099352051837']
['aside:', '3.776241900647948']
['ridge:', '3.776241900647948']
['sweat:', '3.776241900647948']
['broil:', '3.7766738660907127']
['chair:', '3.7766738660907127']
['cheat:', '3.7766738660907127']
['drift:', '3.7766738660907127']
['impel:', '3.7766738660907127']
['prank:', '3.7766738660907127']
['probe:', '3.7766738660907127']
['towel:', '3.7766738660907127']
['anime:', '3.7771058315334773']
['choir:', '3.7771058315334773']
['finer:', '3.7771058315334773']
['flirt:', '3.7771058315334773']
['froth:', '3.7771058315334773']
['moult:', '3.7771058315334773']
['sworn:', '3.7771058315334773']
['upset:', '3.7771058315334773']
['yearn:', '3.7771058315334773']
['reign:', '3.777537796976242']
['tumor:', '3.777537796976242']
['delay:', '3.7779697624190063']
['scary:', '3.7779697624190063']
['shame:', '3.7779697624190063']
['surge:', '3.7779697624190063']
['carve:', '3.778401727861771']
['crave:', '3.778401727861771']
['drank:', '3.778401727861771']
['flier:', '3.778401727861771']
['flora:', '3.778401727861771']
['mourn:', '3.778401727861771']
['primo:', '3.778401727861771']
['trump:', '3.778401727861771']
['under:', '3.778401727861771']
['creak:', '3.7788336933045357']
['shawl:', '3.7788336933045357']
['drawn:', '3.7792656587473004']
['groan:', '3.7792656587473004']
['denim:', '3.7796976241900646']
['edict:', '3.7796976241900646']
['flame:', '3.7796976241900646']
['medal:', '3.7801295896328293']
['skirt:', '3.7801295896328293']
['twine:', '3.7801295896328293']
['drawl:', '3.780561555075594']
['slave:', '3.780561555075594']
['pinch:', '3.7809935205183587']
['sprig:', '3.7809935205183587']
['untie:', '3.7809935205183587']
['grout:', '3.781425485961123']
['scarf:', '3.781425485961123']
['bluer:', '3.7818574514038876']
['haunt:', '3.7818574514038876']
['match:', '3.7818574514038876']
['agile:', '3.7822894168466523']
['board:', '3.7822894168466523']
['dwelt:', '3.7822894168466523']
['sword:', '3.7822894168466523']
['relay:', '3.782721382289417']
['stomp:', '3.782721382289417']
['throb:', '3.782721382289417']
['guest:', '3.7831533477321813']
['layer:', '3.7831533477321813']
['shift:', '3.7831533477321813']
['wrath:', '3.7831533477321813']
['agent:', '3.783585313174946']
['briny:', '3.783585313174946']
['deign:', '3.783585313174946']
['golem:', '3.783585313174946']
['ounce:', '3.783585313174946']
['pound:', '3.783585313174946']
['story:', '3.783585313174946']
['unite:', '3.783585313174946']
['daily:', '3.7840172786177106']
['mirth:', '3.7840172786177106']
['demon:', '3.7844492440604753']
['poesy:', '3.7844492440604753']
['prawn:', '3.7844492440604753']
['rhino:', '3.7844492440604753']
['stung:', '3.7848812095032396']
['taker:', '3.7848812095032396']
['croup:', '3.7853131749460043']
['grime:', '3.7853131749460043']
['homer:', '3.7853131749460043']
['repay:', '3.7853131749460043']
['rayon:', '3.785745140388769']
['tango:', '3.785745140388769']
['elfin:', '3.7861771058315337']
['forth:', '3.7861771058315337']
['gleam:', '3.7861771058315337']
['lemur:', '3.7861771058315337']
['waist:', '3.7861771058315337']
['barge:', '3.786609071274298']
['crush:', '3.786609071274298']
['filer:', '3.786609071274298']
['harem:', '3.786609071274298']
['rusty:', '3.786609071274298']
['spank:', '3.786609071274298']
['swirl:', '3.786609071274298']
['sneak:', '3.7870410367170626']
['stake:', '3.7870410367170626']
['batch:', '3.7874730021598273']
['stork:', '3.7874730021598273']
['swept:', '3.7874730021598273']
['urine:', '3.7874730021598273']
['wiser:', '3.7874730021598273']
['clown:', '3.787904967602592']
['gamer:', '3.787904967602592']
['pinto:', '3.787904967602592']
['sandy:', '3.787904967602592']
['urban:', '3.787904967602592']
['ample:', '3.7883369330453562']
['aping:', '3.7883369330453562']
['basic:', '3.7883369330453562']
['gaunt:', '3.7883369330453562']
['lunge:', '3.7883369330453562']
['owner:', '3.7883369330453562']
['payer:', '3.7883369330453562']
['salve:', '3.7883369330453562']
['berth:', '3.788768898488121']
['patio:', '3.788768898488121']
['peach:', '3.788768898488121']
['chide:', '3.7892008639308856']
['flair:', '3.7892008639308856']
['ready:', '3.7896328293736503']
['south:', '3.7896328293736503']
['coupe:', '3.7900647948164146']
['royal:', '3.7900647948164146']
['cloak:', '3.7904967602591793']
['flute:', '3.7904967602591793']
['blank:', '3.790928725701944']
['haute:', '3.790928725701944']
['incur:', '3.7913606911447086']
['climb:', '3.791792656587473']
['early:', '3.791792656587473']
['ashen:', '3.7922246220302376']
['chute:', '3.7922246220302376']
['clung:', '3.7922246220302376']
['wring:', '3.7922246220302376']
['avert:', '3.7926565874730023']
['braid:', '3.7926565874730023']
['decry:', '3.7926565874730023']
['demur:', '3.7926565874730023']
['glide:', '3.7926565874730023']
['graft:', '3.7926565874730023']
['habit:', '3.7926565874730023']
['graph:', '3.7930885529157665']
['guile:', '3.7930885529157665']
['login:', '3.7930885529157665']
['swine:', '3.7930885529157665']
['lumen:', '3.793520518358531']
['chose:', '3.793952483801296']
['dowel:', '3.793952483801296']
['sight:', '3.793952483801296']
['bison:', '3.7943844492440606']
['march:', '3.7943844492440606']
['spawn:', '3.7943844492440606']
['swath:', '3.7943844492440606']
['badly:', '3.794816414686825']
['chaos:', '3.794816414686825']
['crumb:', '3.794816414686825']
['scrum:', '3.794816414686825']
['spiny:', '3.794816414686825']
['sugar:', '3.794816414686825']
['brash:', '3.7952483801295895']
['china:', '3.7952483801295895']
['chore:', '3.7952483801295895']
['debit:', '3.7952483801295895']
['lodge:', '3.7952483801295895']
['savor:', '3.7952483801295895']
['skier:', '3.7952483801295895']
['worse:', '3.7952483801295895']
['amuse:', '3.7956803455723542']
['bagel:', '3.7956803455723542']
['organ:', '3.7956803455723542']
['birth:', '3.796112311015119']
['brake:', '3.796112311015119']
['boule:', '3.796544276457883']
['clerk:', '3.796544276457883']
['valet:', '3.796544276457883']
['cower:', '3.796976241900648']
['doubt:', '3.796976241900648']
['lurch:', '3.796976241900648']
['shied:', '3.796976241900648']
['bring:', '3.7974082073434126']
['cheap:', '3.7974082073434126']
['sower:', '3.7974082073434126']
['sumac:', '3.7974082073434126']
['dirty:', '3.7978401727861772']
['drink:', '3.7978401727861772']
['style:', '3.7978401727861772']
['botch:', '3.7982721382289415']
['often:', '3.7982721382289415']
['shout:', '3.7982721382289415']
['voter:', '3.7982721382289415']
['afire:', '3.798704103671706']
['shelf:', '3.798704103671706']
['taken:', '3.798704103671706']
['twice:', '3.798704103671706']
['fraud:', '3.799136069114471']
['lower:', '3.799136069114471']
['ocean:', '3.799136069114471']
['tonga:', '3.799136069114471']
['visor:', '3.799136069114471']
['entry:', '3.7995680345572356']
['slung:', '3.7995680345572356']
['disco:', '3.8']
['mulch:', '3.8']
['power:', '3.8']
['reply:', '3.8']
['abide:', '3.8004319654427645']
['argue:', '3.8004319654427645']
['bound:', '3.8004319654427645']
['chasm:', '3.8004319654427645']
['croak:', '3.8004319654427645']
['hoard:', '3.8004319654427645']
['truck:', '3.8004319654427645']
['bathe:', '3.800863930885529']
['clove:', '3.800863930885529']
['mealy:', '3.800863930885529']
['purge:', '3.800863930885529']
['rainy:', '3.800863930885529']
['piano:', '3.801295896328294']
['saucy:', '3.801295896328294']
['threw:', '3.801295896328294']
['trick:', '3.801295896328294']
['amend:', '3.801727861771058']
['guilt:', '3.801727861771058']
['slimy:', '3.801727861771058']
['stack:', '3.801727861771058']
['swear:', '3.801727861771058']
['break:', '3.802159827213823']
['debut:', '3.802159827213823']
['depth:', '3.802159827213823']
['fruit:', '3.802159827213823']
['rehab:', '3.802159827213823']
['admin:', '3.8025917926565875']
['fable:', '3.8025917926565875']
['lusty:', '3.8030237580993522']
['proud:', '3.8030237580993522']
['slunk:', '3.8030237580993522']
['spicy:', '3.8030237580993522']
['swore:', '3.8030237580993522']
['aloud:', '3.8034557235421165']
['gnome:', '3.8034557235421165']
['stink:', '3.8034557235421165']
['ditch:', '3.803887688984881']
['mouse:', '3.803887688984881']
['niche:', '3.803887688984881']
['plume:', '3.803887688984881']
['bilge:', '3.804319654427646']
['built:', '3.804319654427646']
['cameo:', '3.804319654427646']
['charm:', '3.804319654427646']
['daisy:', '3.804319654427646']
['dutch:', '3.804319654427646']
['globe:', '3.804319654427646']
['infer:', '3.804319654427646']
['mange:', '3.804319654427646']
['manly:', '3.804319654427646']
['slink:', '3.804319654427646']
['suing:', '3.804319654427646']
['amble:', '3.8047516198704106']
['flout:', '3.8047516198704106']
['black:', '3.805183585313175']
['brawl:', '3.805183585313175']
['ghost:', '3.805183585313175']
['mural:', '3.805183585313175']
['mound:', '3.8056155507559395']
['spike:', '3.8056155507559395']
['fetid:', '3.806047516198704']
['flask:', '3.806047516198704']
['nerdy:', '3.806047516198704']
['sinew:', '3.806047516198704']
['trunk:', '3.806047516198704']
['twang:', '3.806047516198704']
['grief:', '3.806479481641469']
['ideal:', '3.806479481641469']
